Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BA;Contrôle et exploitation aériens;XC;614.0;Transports aériens, surveillance et certification;02;Surveillance et certification;;;52.0;5;6002255.0;7724255.0;0.0;0.0;Transition écologique et cohésion des territoires
BA;Publications officielles et information administrative;XJ;623.0;Édition et diffusion;02;Information administrative et vie publique;;;51.0;5;1550000.0;850000.0;0.0;0.0;Services du Premier ministre
BG;Action extérieure de l'État;AA;151.0;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;31.0;3;20526747.0;20126747.0;0.0;0.0;Europe et affaires étrangères
BG;Action extérieure de l'État;AA;151.0;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;;21.0;2;54535602.0;54535602.0;0.0;0.0;Europe et affaires étrangères
BG;Administration générale et territoriale de l'État;AB;354.0;Administration territoriale de l'État;05;Fonctionnement courant de l'administration territoriale;;;31.0;3;219425939.0;210621548.0;12140000.0;12140000.0;Intérieur et outre-mer
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;04;Actions transversales;;;31.0;3;11893144.0;11893144.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Aide publique au développement;AD;110.0;Aide économique et financière au développement;03;Traitement de la dette des pays pauvres;;;73.0;7;0.0;113542088.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Aide publique au développement;AD;209.0;Solidarité à l'égard des pays en développement;05;Coopération multilatérale;;;31.0;3;550000.0;6465602.0;0.0;0.0;Europe et affaires étrangères
BG;Aide publique au développement;AD;209.0;Solidarité à l'égard des pays en développement;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;;22.0;2;29269058.0;29269058.0;0.0;0.0;Europe et affaires étrangères
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;03;Lutte contre l'habitat indigne;;;62.0;6;2750000.0;2750000.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Cohésion des territoires;VA;147.0;Politique de la ville;02;Revitalisation économique et emploi;;;32.0;3;34422530.0;34422530.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Cohésion des territoires;VA;162.0;Interventions territoriales de l'État;02;Eau - Agriculture en Bretagne;;;32.0;3;280000.0;280000.0;0.0;0.0;Services du Premier ministre
BG;Cohésion des territoires;VA;162.0;Interventions territoriales de l'État;08;Volet territorialisé du plan national d'action chlordécone;;;31.0;3;784000.0;912200.0;0.0;0.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;126.0;Conseil économique, social et environnemental;05;Fonctions supports à l'institution;;;31.0;3;2596167.0;2596167.0;1530000.0;1530000.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;164.0;Cour des comptes et autres juridictions financières;23;Contrôle des gestions publiques;;;22.0;2;24214939.0;24214939.0;0.0;0.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;02;Fonction juridictionnelle : Cours administratives d'appel;;;23.0;2;420937.0;420937.0;0.0;0.0;Services du Premier ministre
BG;Culture;CB;175.0;Patrimoines;01;Monuments Historiques et patrimoine monumental;;;31.0;3;29393966.0;29345725.0;0.0;0.0;Culture
BG;Culture;CB;175.0;Patrimoines;02;Architecture et sites patrimoniaux;;;32.0;3;19016023.0;19016023.0;0.0;0.0;Culture
BG;Culture;CB;175.0;Patrimoines;04;Patrimoine archivistique;;;32.0;3;170000.0;170000.0;0.0;0.0;Culture
BG;Culture;CB;224.0;Soutien aux politiques du ministère de la culture;07;Fonctions de soutien du ministère;;;52.0;5;9270000.0;9270000.0;0.0;0.0;Culture
BG;Défense;DA;144.0;Environnement et prospective de la politique de défense;07;Prospective de défense;01;Analyse stratégique;64.0;6;370000.0;370000.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;22;Commander et conduire - Hébergerment-Cloud;51.0;5;10000000.0;698228.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;64;Renseigner, surveiller, acquérir et reconnaître - ROEM;51.0;5;26379238.0;69248962.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;08;Projection - mobilité - soutien;42;Projeter les forces - Avion de transport futur (A400M);64.0;6;6170.0;132755.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;10;Protection et sauvegarde;79;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Autres opérations;31.0;3;4802973.0;6581343.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;31.0;3;95325100.0;89554104.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;05;Logistique et soutien interarmées;85;Service du commissariat aux armées;31.0;3;824132769.0;753085786.0;31296033.0;31296033.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;06;Politiques des ressources humaines;03;Reconversion;31.0;3;39106735.0;37314321.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";01;Renseignement extérieur;23.0;2;3547215.0;3547215.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;52;Relations internationales;02;DGRIS / Diplomatie de défense;22.0;2;20238962.0;20238962.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";01;Ressources humaines des forces aériennes;22.0;2;1351309877.0;1351309877.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";05;Service du commissariat des armées;21.0;2;856132143.0;856132143.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;66;Rayonnement et contribution extérieure;05;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;21.0;2;1346938.0;1346938.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;01;Cabinet du Ministre des armées - Cabinet du ministre délégué auprès du Ministre des armées - sous-direction des cabinets;23.0;2;80746.0;80746.0;0.0;0.0;Armées
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;01;Coordination du travail gouvernemental;;;21.0;2;57051453.0;57051453.0;0.0;0.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;113.0;Paysages, eau et biodiversité;07;Gestion des milieux et biodiversité;;;63.0;6;65542943.0;56673828.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;181.0;Prévention des risques;10;Prévention des risques naturels et hydrauliques;;;52.0;5;500000.0;500000.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;205.0;Affaires maritimes, pêche et aquaculture;02;Emplois et formations maritimes;;;52.0;5;990041.0;689542.0;0.0;0.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;205.0;Affaires maritimes, pêche et aquaculture;03;Innovation et flotte de commerce;;;62.0;6;104423496.0;104423496.0;0.0;0.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;07;Pilotage, support, audit et évaluations;;;51.0;5;66319023.0;50900671.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;15;Personnels œuvrant pour les politiques du programme Urbanisme, territoires et aménagement de l'habitat;;;23.0;2;4357225.0;4357225.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;345.0;Service public de l'énergie;14;Dispositions sociales pour les consommateurs en situation de précarité énergétique;03;Autres dispositifs de lutte contre la précarité énergétique;62.0;6;6500000.0;6500000.0;0.0;0.0;Transition énergétique
BG;Économie;DB;134.0;Développement des entreprises et régulations;04;Développement des postes, des télécommunications et du numérique;;;53.0;5;3200000.0;3200000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Économie;DB;220.0;Statistiques et études économiques;08;Information économique, démographique et sociale;;;31.0;3;5152702.0;5752702.0;400000.0;400000.0;Économie, finances et souveraineté industrielle et numérique
BG;Engagements financiers de l'État;EB;114.0;Appels en garantie de l'État (crédits évaluatifs);01;Agriculture et environnement;;;65.0;6;100000.0;100000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;08;Actions sociales en faveur des élèves;;;61.0;6;81239322.0;81239322.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;140.0;Enseignement scolaire public du premier degré;05;Remplacement;;;21.0;2;1261650122.0;1261650122.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;09;Formation continue des adultes et validation des acquis de l'expérience;;;22.0;2;57219783.0;57219783.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;;63.0;6;0.0;0.0;1300000.0;1300000.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;143.0;Enseignement technique agricole;01;Mise en oeuvre de l'enseignement dans les établissements publics;;;72.0;7;721500.0;721500.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Enseignement scolaire;EC;143.0;Enseignement technique agricole;02;Mise en oeuvre des enseignements dans les établissements privés;;;64.0;6;371110000.0;371110000.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Enseignement scolaire;EC;214.0;Soutien de la politique de l'éducation nationale;08;Logistique, système d'information, immobilier;;;23.0;2;6819662.0;6819662.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;03;Fiscalité des particuliers et fiscalité directe locale;;;52.0;5;26400000.0;28700000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;05;Gestion financière de l'État hors fiscalité;;;52.0;5;3820000.0;4000000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;09;Soutien;;;21.0;2;638774626.0;638774626.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;03;Préservation de la sécurité et de la sûreté de l'espace national et européen;;;22.0;2;45517105.0;45517105.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Justice;JA;107.0;Administration pénitentiaire;04;Soutien et formation;;;32.0;3;36553287.0;36553287.0;0.0;0.0;Justice
BG;Justice;JA;166.0;Justice judiciaire;01;Traitement et jugement des contentieux civils;;;22.0;2;470544073.0;470544073.0;0.0;0.0;Justice
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;03;Évaluation, contrôle, études et recherche;;;22.0;2;7593626.0;7593626.0;0.0;0.0;Justice
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;04;Gestion de l'administration centrale;;;53.0;5;895000.0;895000.0;0.0;0.0;Justice
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;10;Politiques RH transverses;;;64.0;6;280000.0;280000.0;0.0;0.0;Justice
BG;Médias, livre et industries culturelles;MA;180.0;Presse et médias;07;Compagnie internationale de radio et télévision (CIRT);;;64.0;6;1666500.0;1666500.0;0.0;0.0;Culture
BG;Outre-mer;OA;123.0;Conditions de vie outre-mer;02;Aménagement  du territoire;;;62.0;6;1600000.0;1600000.0;0.0;0.0;Intérieur et outre-mer
BG;Plan de relance;PR;362.0;Écologie;06;Mer;;;62.0;6;0.0;7500000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Recherche et enseignement supérieur;RA;150.0;Formations supérieures et recherche universitaire;02;Formation initiale et continue de niveau master;;;23.0;2;302548.0;302548.0;0.0;0.0;Enseignement supérieur et recherche
BG;Recherche et enseignement supérieur;RA;150.0;Formations supérieures et recherche universitaire;03;Formation initiale et continue de niveau doctorat;;;23.0;2;113031.0;113031.0;0.0;0.0;Enseignement supérieur et recherche
BG;Recherche et enseignement supérieur;RA;172.0;Recherches scientifiques et technologiques pluridisciplinaires;14;Moyens généraux et d'appui à la recherche;;;32.0;3;1140064180.0;1140064180.0;0.0;0.0;Enseignement supérieur et recherche
BG;Sécurités;SB;152.0;Gendarmerie nationale;01;Ordre et sécurité publics;02;Ordre et sécurité publics -  administration centrale et cabinet;23.0;2;67349.0;67349.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;152.0;Gendarmerie nationale;03;Missions de police judiciaire et concours à la justice;01;Missions de police judiciaire et concours à la justice - hors administration centrale et cabinet;23.0;2;9518671.0;9518671.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;152.0;Gendarmerie nationale;04;Commandement, ressources humaines et logistique;02;Commandement, ressources humaines et logistique - administration centrale et cabinet;22.0;2;69569210.0;69569210.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;161.0;Sécurité civile;14;Fonctionnement, soutien et logistique;;;64.0;6;200000.0;200000.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;176.0;Police nationale;02;Sécurité et paix publiques;02;Sécurité et paix publiques - Hors administration centrale et cabinet;22.0;2;1397938060.0;1397938060.0;0.0;0.0;Intérieur et outre-mer
BG;Sécurités;SB;176.0;Police nationale;04;Police des étrangers et sûreté des transports internationaux;03;Autres actions relatives à la police des étrangers et à la sureté des transports internationaux - Administration centrale et cabinets;21.0;2;35422675.0;35422675.0;0.0;0.0;Intérieur et outre-mer
BG;Solidarité, insertion et égalité des chances;SE;124.0;Conduite et soutien des politiques sanitaires et sociales;22;Personnels transversaux et de soutien;;;23.0;2;918145.0;918145.0;0.0;0.0;Solidarités et des Familles
BG;Solidarité, insertion et égalité des chances;SE;124.0;Conduite et soutien des politiques sanitaires et sociales;26;Formations à des métiers de la santé et du soin;;;63.0;6;0.0;38963000.0;0.0;0.0;Solidarités et des Familles
BG;Solidarité, insertion et égalité des chances;SE;304.0;Inclusion sociale et protection des personnes;17;Protection et accompagnement des enfants, des jeunes et des familles vulnérables;;;31.0;3;150530.0;150530.0;0.0;0.0;Solidarités et des Familles
BG;Transformation et fonction publiques;TR;349.0;Transformation publique;02;Accompagnement du changement de l'action publique;;;52.0;5;1000000.0;2000000.0;0.0;0.0;Transformation et fonction publiques
BG;Transformation et fonction publiques;TR;368.0;Conduite et pilotage de la transformation et de la fonction publiques;01;Accompagnement des transformations des ressources humaines (DGAFP/CISIRH);;;21.0;2;22437372.0;22437372.0;0.0;0.0;Transformation et fonction publiques
BG;Travail et emploi;TB;102.0;Accès et retour à l'emploi;03;Accompagnement des personnes les plus éloignées du marché du travail- Fonds d'inclusion dans l'emploi;05;Autres structures d'insertion dans l'emploi;64.0;6;66446453.0;66446453.0;0.0;0.0;Travail, plein emploi et insertion
BG;Travail et emploi;TB;103.0;Accompagnement des mutations économiques et développement de l'emploi;03;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;03;Anticipation des besoins en compétences;62.0;6;14093305.0;14383017.0;0.0;0.0;Travail, plein emploi et insertion
CAS;Pensions;YD;741.0;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;01;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;22.0;2;583300000.0;583300000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
CAS;Pensions;YD;743.0;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;05;Pensions des anciens agents du chemin de fer franco-éthiopien;;;31.0;3;7622.0;7622.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
CAS;Pensions;YD;743.0;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;06;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;31.0;3;350378.0;350378.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BA;Contrôle et exploitation aériens;XC;613.0;Soutien aux prestations de l'aviation civile;01;Ressources humaines et management;;;23.0;2;12954358.0;12954358.0;0.0;0.0;Transition écologique et cohésion des territoires
BA;Contrôle et exploitation aériens;XC;613.0;Soutien aux prestations de l'aviation civile;04;Formation aéronautique;;;53.0;5;3000000.0;3000000.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;31.0;3;38065772.0;38065772.0;144795.0;144795.0;Europe et affaires étrangères
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;06;Soutien;;;31.0;3;124043140.0;132675189.0;110000.0;110000.0;Europe et affaires étrangères
BG;Action extérieure de l'État;AA;185.0;Diplomatie culturelle et d'influence;07;Diplomatie économique et attractivité;;;64.0;6;10420083.0;10420083.0;0.0;0.0;Europe et affaires étrangères
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;01;État-major et services centraux;;;51.0;5;8061351.0;8061351.0;0.0;0.0;Intérieur et outre-mer
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;09;Sécurité et éducation routières;;;21.0;2;80923828.0;80923828.0;0.0;0.0;Intérieur et outre-mer
BG;Administration générale et territoriale de l'État;AB;354.0;Administration territoriale de l'État;01;Coordination de la sécurité des personnes et des biens;;;22.0;2;69343664.0;69343664.0;0.0;0.0;Intérieur et outre-mer
BG;Administration générale et territoriale de l'État;AB;354.0;Administration territoriale de l'État;06;Dépenses immobilières de l'administration territoriale;;;51.0;5;65623058.0;46996399.0;400000.0;400000.0;Intérieur et outre-mer
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;02;Lutte contre les maladies animales, protection et bien-être animal;;;31.0;3;75696494.0;75407049.0;3419188.0;3419188.0;Agriculture et souveraineté alimentaire
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;03;Sécurité sanitaire de l'alimentation;;;31.0;3;16123736.0;15992336.0;2000000.0;2000000.0;Agriculture et souveraineté alimentaire
BG;Cohésion des territoires;VA;147.0;Politique de la ville;04;Rénovation urbaine et amélioration du cadre de vie;;;64.0;6;50000000.0;50000000.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Cohésion des territoires;VA;162.0;Interventions territoriales de l'État;08;Volet territorialisé du plan national d'action chlordécone;;;64.0;6;1979723.0;1815300.0;0.0;0.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;164.0;Cour des comptes et autres juridictions financières;27;Pilotage et soutien des juridictions financières;;;21.0;2;19158580.0;19158580.0;71000.0;71000.0;Services du Premier ministre
BG;Culture;CB;131.0;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;51.0;5;25218001.0;31240000.0;0.0;0.0;Culture
BG;Culture;CB;131.0;Création;02;Soutien à la création, à la production et à la diffusion des arts visuels;;;32.0;3;49115257.0;49115257.0;0.0;0.0;Culture
BG;Culture;CB;175.0;Patrimoines;04;Patrimoine archivistique;;;31.0;3;14785893.0;14785893.0;0.0;0.0;Culture
BG;Culture;CB;224.0;Soutien aux politiques du ministère de la culture;07;Fonctions de soutien du ministère;;;31.0;3;76099174.0;74172725.0;0.0;1000000.0;Culture
BG;Culture;CB;224.0;Soutien aux politiques du ministère de la culture;07;Fonctions de soutien du ministère;;;51.0;5;4479277.0;4479277.0;0.0;0.0;Culture
BG;Défense;DA;146.0;Équipement des forces;06;Dissuasion;23;Assurer la crédibilité technique de la posture - toutes opérations;31.0;3;65828676.0;82447429.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;25;Commander et conduire - Système d'information TERRE;51.0;5;26270679.0;43168183.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;29;Commander et conduire - Système d'information des armées (SIA);31.0;3;20550000.0;19276674.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;09;Engagement et combat;73;Opérer en milieu hostile - Frégates multi-missions (FREMM);51.0;5;22000000.0;15647969.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;09;Engagement et combat;78;Frapper à distance - Mirage 2000;31.0;3;38976142.0;40718821.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;10;Protection et sauvegarde;89;Assurer la protection des forces et des sites - LAD;51.0;5;205094693.0;21425318.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;01;Planification  des moyens et conduite des opérations;11;Renseignement d'intérêt militaire;51.0;5;9945000.0;14367470.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;04;Préparation des forces aériennes;04;Activités des forces aériennes stratégiques;31.0;3;90017483.0;203835171.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;05;Logistique et soutien interarmées;82;Soutien des forces par les bases de défense;51.0;5;25199630.0;18000000.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;05;Logistique et soutien interarmées;85;Service du commissariat aux armées;51.0;5;87372923.0;84541256.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;10;Restructurations;;;64.0;6;0.0;56546.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";07;Systèmes d'information et de communication;22.0;2;239571382.0;239571382.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";06;Fonction santé;22.0;2;547233367.0;547233367.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;66;Rayonnement et contribution extérieure;02;Pilotage, soutien et communication - effectifs sortants non remboursés sous PMEA Mindef;21.0;2;8129748.0;8129748.0;0.0;0.0;Armées
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;10;Soutien;;;51.0;5;6500000.0;4300000.0;0.0;0.0;Services du Premier ministre
BG;Direction de l'action du Gouvernement;DC;308.0;Protection des droits et libertés;02;Commission nationale de l'informatique et des libertés;;;31.0;3;4347239.0;4347239.0;0.0;0.0;Services du Premier ministre
BG;Direction de l'action du Gouvernement;DC;308.0;Protection des droits et libertés;13;Commission du secret de la Défense nationale;;;23.0;2;3052.0;3052.0;0.0;0.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;113.0;Paysages, eau et biodiversité;02;Innovation, territorialisation et contentieux;;;64.0;6;1308612.0;1118681.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;181.0;Prévention des risques;13;Institut national de l'environnement industriel et des risques (INERIS);;;32.0;3;32066117.0;32066117.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;203.0;Infrastructures et services de transports;42;Voies navigables;;;32.0;3;253294855.0;253294855.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;205.0;Affaires maritimes, pêche et aquaculture;01;Surveillance et sûreté maritimes;;;51.0;5;15925535.0;11294739.0;0.0;0.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;13;Personnels œuvrant pour la politique de l'eau et de la biodiversité;;;23.0;2;1797084.0;1797084.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;22;Personnels transférés aux collectivités territoriales;;;21.0;2;9508496.0;9508496.0;9000000.0;9000000.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;25;Commission nationale du débat public;;;31.0;3;964149.0;964149.0;7500000.0;7500000.0;Transition écologique et cohésion des territoires
BG;Économie;DB;134.0;Développement des entreprises et régulations;13;Régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP);;;71.0;7;24000.0;24000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Économie;DB;134.0;Développement des entreprises et régulations;23;Industrie et services;;;32.0;3;28691020.0;28691020.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Économie;DB;220.0;Statistiques et études économiques;01;Infrastructures statistiques et missions régaliennes;;;63.0;6;21963684.0;21863684.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Économie;DB;220.0;Statistiques et études économiques;09;Pilotage, soutien et formation initiale;;;22.0;2;39169775.0;39169775.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;04;Enseignement général et technologique en lycée;;;22.0;2;417501982.0;417501982.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;02;Enseignement général et technologique en lycée;;;64.0;6;1787674.0;1787674.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;06;Besoins éducatifs particuliers;;;22.0;2;596238327.0;596238327.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;06;Besoins éducatifs particuliers;;;64.0;6;2797227.0;2797227.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;10;Formation des personnels enseignants et d'orientation;;;31.0;3;31795039.0;31795039.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Gestion des finances publiques;GA;218.0;Conduite et pilotage des politiques économiques et financières;05;Prestations d'appui et support;;;23.0;2;1156303.0;1156303.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;06;Soutien des services opérationnels;;;51.0;5;21800140.0;30106613.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Investir pour la France de 2030;AV;422.0;Valorisation de la recherche;03;Démonstrateurs et territoires d'innovation de grande ambition;;;64.0;6;0.0;10000000.0;0.0;0.0;Services du Premier ministre
BG;Investir pour la France de 2030;AV;424.0;Financement des investissements stratégiques;02;Maturation de technologies, R&D, valorisation de la recherche;;;62.0;6;0.0;380000000.0;0.0;0.0;Services du Premier ministre
BG;Justice;JA;166.0;Justice judiciaire;01;Traitement et jugement des contentieux civils;;;23.0;2;5253876.0;5253876.0;0.0;0.0;Justice
BG;Justice;JA;166.0;Justice judiciaire;08;Support à l'accès au droit et à la justice;;;22.0;2;6059410.0;6059410.0;0.0;0.0;Justice
BG;Justice;JA;335.0;Conseil supérieur de la magistrature;01;Conseil supérieur de la magistrature;;;21.0;2;2497235.0;2497235.0;0.0;0.0;Justice
