Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Économie;DB;134.0;Développement des entreprises et régulations;24;Régulation concurrentielle des marchés, protection économique et sécurité du consommateur;;;23.0;2;1593302.0;1593302.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Économie;DB;220.0;Statistiques et études économiques;06;Action régionale;;;22.0;2;15221110.0;15221110.0;42489.0;42489.0;Économie, finances et souveraineté industrielle et numérique
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;12;Soutien;;;21.0;2;177469645.0;177469645.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;140.0;Enseignement scolaire public du premier degré;02;Enseignement élémentaire;;;31.0;3;11190934.0;11190934.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;03;Enseignement professionnel sous statut scolaire;;;22.0;2;2060584639.0;2060584639.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;11;Remplacement;;;22.0;2;678693959.0;678693959.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;143.0;Enseignement technique agricole;02;Mise en oeuvre des enseignements dans les établissements privés;;;21.0;2;186614616.0;186614616.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;06;Gestion des pensions;;;31.0;3;12257630.0;12037630.0;600000.0;600000.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;08;Gestion des fonds déposés;;;22.0;2;21313857.0;21313857.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;09;Soutien;;;52.0;5;24077926.0;22347884.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;218.0;Conduite et pilotage des politiques économiques et financières;09;Action sociale ministérielle;;;21.0;2;38693819.0;38693819.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;01;Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.;;;31.0;3;27422891.0;21138488.0;190000.0;190000.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;05;Fiscalité douanière, énergétique et environnementale;;;61.0;6;5747124.0;5747413.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Immigration, asile et intégration;IA;303.0;Immigration et asile;03;Lutte contre l'immigration irrégulière;;;64.0;6;20135638.0;20135638.0;0.0;0.0;Intérieur et outre-mer
BG;Investir pour la France de 2030;AV;421.0;Soutien des progrès de l'enseignement et de la recherche;04;Soutien des grandes universités de recherche;;;64.0;6;0.0;90000000.0;0.0;0.0;Services du Premier ministre
BG;Justice;JA;101.0;Accès au droit et à la justice;04;Médiation et espaces de rencontre;;;63.0;6;30000.0;30000.0;0.0;0.0;Justice
BG;Justice;JA;101.0;Accès au droit et à la justice;04;Médiation et espaces de rencontre;;;64.0;6;14502769.0;14502769.0;0.0;0.0;Justice
BG;Médias, livre et industries culturelles;MA;334.0;Livre et industries culturelles;01;Livre et lecture;;;62.0;6;4650000.0;4650000.0;0.0;0.0;Culture
BG;Plan de relance;PR;362.0;Écologie;06;Mer;;;64.0;6;0.0;27820000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Plan de relance;PR;363.0;Compétitivité;04;Mise à niveau numérique de l'État, des territoires et des entreprises – modernisation des administrations régaliennes;;;52.0;5;0.0;18585600.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Recherche et enseignement supérieur;RA;142.0;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;;22.0;2;107430574.0;107430574.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Recherche et enseignement supérieur;RA;150.0;Formations supérieures et recherche universitaire;13;Diffusion des savoirs et musées;;;23.0;2;275864.0;275864.0;0.0;0.0;Enseignement supérieur et recherche
BG;Recherche et enseignement supérieur;RA;150.0;Formations supérieures et recherche universitaire;17;Recherche;;;31.0;3;231980.0;231980.0;0.0;0.0;Enseignement supérieur et recherche
BG;Recherche et enseignement supérieur;RA;172.0;Recherches scientifiques et technologiques pluridisciplinaires;02;Agence nationale de la recherche;;;32.0;3;40000000.0;40000000.0;0.0;0.0;Enseignement supérieur et recherche
BG;Recherche et enseignement supérieur;RA;193.0;Recherche spatiale;04;Maîtrise de l'accès à l'espace;;;64.0;6;481253212.0;481253212.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Relations avec les collectivités territoriales;RC;119.0;Concours financiers aux collectivités territoriales et à leurs groupements;05;Dotation générale de décentralisation des régions;;;63.0;6;1298030418.0;1298030418.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Remboursements et dégrèvements;RD;201.0;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);03;Taxe d'habitation;01;Taxe d'habitation;63.0;6;311000000.0;311000000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Santé;SA;183.0;Protection maladie;03;Fonds d'indemnisation des victimes de l'amiante;;;61.0;6;8000000.0;8000000.0;0.0;0.0;Santé et prévention
