Première 2020,Effectifs
ARTS_PLA LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES,269
ARTS_PLA HISTOIRE_GEO_POLITIQUE MATHS,261
THEATRE HISTOIRE_GEO_POLITIQUE SES,260
ARTS_PLA SVT SES,241
HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES SVT,238
THEATRE HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE,238
ARTS_PLA HUMANITES_LITTERATURE_PHILO MATHS,230
CINEMA HUMANITES_LITTERATURE_PHILO SES,216
MUSIQUE MATHS PHYSIQUE_CHIMIE,210
THEATRE HUMANITES_LITTERATURE_PHILO SES,210
HISTOIRE_DES_ARTS LANGUES_LITTERATURE SES,207
MUSIQUE HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO,200
PHYSIQUE_CHIMIE SVT SCIENCES_INGENIEUR,199
HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE PHYSIQUE_CHIMIE,196
THEATRE LANGUES_LITTERATURE SES,190
HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES,189
ARTS_PLA HISTOIRE_GEO_POLITIQUE SVT,182
HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,181
HISTOIRE_GEO_POLITIQUE MATHS SCIENCES_INGENIEUR,172
HISTOIRE_GEO_POLITIQUE SCIENCES_INGENIEUR SES,168
HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE LITTERATURE_LCA_LATIN,166
HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES SES,165
CINEMA LANGUES_LITTERATURE MATHS,161
MUSIQUE LANGUES_LITTERATURE SES,158
HUMANITES_LITTERATURE_PHILO MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,153
LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,149
LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,146
CINEMA MATHS SES,142
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO SES,141
MUSIQUE HISTOIRE_GEO_POLITIQUE SES,141
HISTOIRE_DES_ARTS MATHS PHYSIQUE_CHIMIE,139
ARTS_PLA PHYSIQUE_CHIMIE SVT,133
MUSIQUE HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE,133
NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,132
NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE SES,131
CINEMA MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,129
HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,128
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN SES,116
HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE SES,110
NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR SES,107
CINEMA LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES,105
SVT SCIENCES_INGENIEUR SES,105
HISTOIRE_DES_ARTS LANGUES_LITTERATURE MATHS,100
ARTS_PLA NUMERIQUE_SCIENCES_INFORMATIQUES SES,99
CINEMA LANGUES_LITTERATURE SVT,92
MUSIQUE HUMANITES_LITTERATURE_PHILO SES,91
CINEMA SVT SES,90
DANSE HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE,85
THEATRE MATHS PHYSIQUE_CHIMIE,83
LANGUES_LITTERATURE SCIENCES_INGENIEUR SES,78
CINEMA HUMANITES_LITTERATURE_PHILO MATHS,76
NUMERIQUE_SCIENCES_INFORMATIQUES SVT SCIENCES_INGENIEUR,76
DANSE HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO,75
ARTS_PLA MATHS SCIENCES_INGENIEUR,73
HISTOIRE_DES_ARTS MATHS SES,73
HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE LITTERATURE_LCA_LATIN,73
THEATRE MATHS SES,73
THEATRE LANGUES_LITTERATURE MATHS,71
THEATRE HUMANITES_LITTERATURE_PHILO SVT,69
ARTS_PLA HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES,67
CINEMA HISTOIRE_GEO_POLITIQUE MATHS,66
ARTS_PLA LANGUES_LITTERATURE PHYSIQUE_CHIMIE,65
MUSIQUE LANGUES_LITTERATURE MATHS,64
PHYSIQUE_CHIMIE SCIENCES_INGENIEUR SES,63
CINEMA MATHS SVT,62
DANSE LANGUES_LITTERATURE SES,62
HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,62
HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE LITTERATURE_LCA_GREC,62
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE MATHS,61
HISTOIRE_GEO_POLITIQUE SVT SCIENCES_INGENIEUR,60
CINEMA HUMANITES_LITTERATURE_PHILO SVT,59
CINEMA HISTOIRE_GEO_POLITIQUE SVT,58
HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES SVT,58
ARTS_PLA HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES,57
CINEMA LANGUES_LITTERATURE PHYSIQUE_CHIMIE,57
DANSE HISTOIRE_GEO_POLITIQUE SES,56
HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,55
LANGUES_LITTERATURE PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,55
THEATRE MATHS SVT,55
CINEMA PHYSIQUE_CHIMIE SVT,54
HISTOIRE_DES_ARTS MATHS SVT,54
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO MATHS,53
THEATRE LANGUES_LITTERATURE SVT,53
THEATRE SVT SES,53
HISTOIRE_DES_ARTS SVT SES,51
MUSIQUE MATHS SVT,51
THEATRE HUMANITES_LITTERATURE_PHILO MATHS,51
HISTOIRE_DES_ARTS LANGUES_LITTERATURE SVT,50
CINEMA NUMERIQUE_SCIENCES_INFORMATIQUES SES,49
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO SVT,49
MUSIQUE HUMANITES_LITTERATURE_PHILO MATHS,47
MUSIQUE MATHS SES,47
HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE SCIENCES_INGENIEUR,45
LANGUES_LITTERATURE SVT SCIENCES_INGENIEUR,45
DANSE HUMANITES_LITTERATURE_PHILO SES,43
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE SVT,42
HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,40
MUSIQUE LANGUES_LITTERATURE SVT,40
ARTS_PLA HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,39
DANSE HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE,39
HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC,39
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN SES,38
THEATRE HISTOIRE_GEO_POLITIQUE SVT,37
ARTS_PLA NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,36
HISTOIRE_DES_ARTS LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES,36
MUSIQUE SVT SES,35
ARTS_PLA NUMERIQUE_SCIENCES_INFORMATIQUES SVT,34
MUSIQUE HUMANITES_LITTERATURE_PHILO SVT,34
ARTS_PLA HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE,32
ARTS_PLA PHYSIQUE_CHIMIE SES,32
CINEMA HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES,32
CINEMA HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES,30
DANSE LANGUES_LITTERATURE SVT,29
HISTOIRE_DES_ARTS MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,29
LANGUES_LITTERATURE LITTERATURE_LCA_LATIN SES,29
MUSIQUE HISTOIRE_GEO_POLITIQUE MATHS,29
DANSE MATHS PHYSIQUE_CHIMIE,28
HUMANITES_LITTERATURE_PHILO MATHS SCIENCES_INGENIEUR,27
LITTERATURE_LCA_LATIN MATHS PHYSIQUE_CHIMIE,27
THEATRE HISTOIRE_GEO_POLITIQUE MATHS,27
CINEMA HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,26
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN MATHS,26
CINEMA NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,25
DANSE SVT SES,25
MUSIQUE HISTOIRE_GEO_POLITIQUE SVT,25
MUSIQUE LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES,25
THEATRE PHYSIQUE_CHIMIE SVT,25
MUSIQUE LANGUES_LITTERATURE PHYSIQUE_CHIMIE,24
MUSIQUE MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,23
ARTS_PLA HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,22
CINEMA PHYSIQUE_CHIMIE SES,22
DANSE HUMANITES_LITTERATURE_PHILO SVT,22
DANSE MATHS SES,22
MUSIQUE PHYSIQUE_CHIMIE SVT,22
THEATRE LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES,22
ARTS_PLA NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,21
LANGUES_LITTERATURE LITTERATURE_LCA_LATIN MATHS,21
LANGUES_LITTERATURE LITTERATURE_LCA_LATIN SVT,21
DANSE MATHS SVT,20
HISTOIRE_DES_ARTS PHYSIQUE_CHIMIE SVT,20
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN MATHS,20
CINEMA HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE,19
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES,19
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN SVT,19
DANSE PHYSIQUE_CHIMIE SVT,18
HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,18
LITTERATURE_LCA_LATIN MATHS SES,18
HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE SCIENCES_INGENIEUR,17
ARTS_PLA LANGUES_LITTERATURE SCIENCES_INGENIEUR,16
HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE LITTERATURE_LCA_GREC,16
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN LITTERATURE_LCA_GREC,16
HUMANITES_LITTERATURE_PHILO SVT SCIENCES_INGENIEUR,16
LITTERATURE_LCA_LATIN MATHS SVT,16
MATHS PHYSIQUE_CHIMIE BIOLOGIE_ECOLOGIE,16
ARTS_DU_CIRQUE HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO,15
DANSE LANGUES_LITTERATURE MATHS,15
HUMANITES_LITTERATURE_PHILO SCIENCES_INGENIEUR SES,15
LITTERATURE_LCA_LATIN SVT SES,15
THEATRE LANGUES_LITTERATURE PHYSIQUE_CHIMIE,15
ARTS_DU_CIRQUE HISTOIRE_GEO_POLITIQUE SES,14
ARTS_DU_CIRQUE HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE,14
HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,14
THEATRE MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,14
CINEMA MATHS SCIENCES_INGENIEUR,13
CINEMA NUMERIQUE_SCIENCES_INFORMATIQUES SVT,13
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,13
HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO SCIENCES_INGENIEUR,13
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_GREC SES,12
ARTS_DU_CIRQUE HUMANITES_LITTERATURE_PHILO SES,11
ARTS_DU_CIRQUE MATHS PHYSIQUE_CHIMIE,11
HISTOIRE_DES_ARTS LANGUES_LITTERATURE PHYSIQUE_CHIMIE,11
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN SVT,11
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC SES,11
DANSE HISTOIRE_GEO_POLITIQUE SVT,10
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_GREC MATHS,10
ARTS_DU_CIRQUE HUMANITES_LITTERATURE_PHILO SVT,9
HISTOIRE_DES_ARTS NUMERIQUE_SCIENCES_INFORMATIQUES SES,9
LITTERATURE_LCA_GREC MATHS PHYSIQUE_CHIMIE,9
LITTERATURE_LCA_LATIN PHYSIQUE_CHIMIE SVT,9
ARTS_PLA HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN,8
ARTS_PLA HISTOIRE_GEO_POLITIQUE SCIENCES_INGENIEUR,8
ARTS_PLA PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,8
ARTS_PLA SCIENCES_INGENIEUR SES,8
HISTOIRE_DES_ARTS MATHS SCIENCES_INGENIEUR,8
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN PHYSIQUE_CHIMIE,8
THEATRE HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES,8
ARTS_PLA LANGUES_LITTERATURE LITTERATURE_LCA_LATIN,7
CINEMA LANGUES_LITTERATURE SCIENCES_INGENIEUR,7
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,7
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC SVT,7
HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,7
THEATRE HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,7
ARTS_DU_CIRQUE HISTOIRE_GEO_POLITIQUE SVT,6
ARTS_DU_CIRQUE MATHS SVT,6
ARTS_DU_CIRQUE SVT SES,6
ARTS_PLA HUMANITES_LITTERATURE_PHILO SCIENCES_INGENIEUR,6
CINEMA HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,6
CINEMA NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,6
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC MATHS,6
LANGUES_LITTERATURE LITTERATURE_LCA_GREC MATHS,6
LANGUES_LITTERATURE LITTERATURE_LCA_LATIN NUMERIQUE_SCIENCES_INFORMATIQUES,6
MUSIQUE HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES,6
MUSIQUE HUMANITES_LITTERATURE_PHILO NUMERIQUE_SCIENCES_INFORMATIQUES,6
MUSIQUE PHYSIQUE_CHIMIE SES,6
ARTS_DU_CIRQUE HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE,5
ARTS_DU_CIRQUE HUMANITES_LITTERATURE_PHILO MATHS,5
ARTS_DU_CIRQUE LANGUES_LITTERATURE MATHS,5
ARTS_DU_CIRQUE LANGUES_LITTERATURE SES,5
ARTS_DU_CIRQUE PHYSIQUE_CHIMIE SVT,5
CINEMA LANGUES_LITTERATURE LITTERATURE_LCA_LATIN,5
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_GREC,5
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE,5
HISTOIRE_DES_ARTS NUMERIQUE_SCIENCES_INFORMATIQUES SVT,5
HISTOIRE_DES_ARTS PHYSIQUE_CHIMIE SES,5
LANGUES_LITTERATURE LITTERATURE_LCA_GREC SES,5
LANGUES_LITTERATURE LITTERATURE_LCA_LATIN PHYSIQUE_CHIMIE,5
LITTERATURE_LCA_GREC PHYSIQUE_CHIMIE SVT,5
MUSIQUE HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,5
THEATRE MATHS SCIENCES_INGENIEUR,5
THEATRE NUMERIQUE_SCIENCES_INFORMATIQUES SES,5
THEATRE PHYSIQUE_CHIMIE SES,5
ARTS_PLA HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC,4
ARTS_PLA LITTERATURE_LCA_LATIN SES,4
CINEMA PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,4
CINEMA SCIENCES_INGENIEUR SES,4
DANSE HISTOIRE_GEO_POLITIQUE MATHS,4
DANSE HUMANITES_LITTERATURE_PHILO MATHS,4
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN,4
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_GREC SVT,4
LITTERATURE_LCA_LATIN MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,4
MUSIQUE MATHS SCIENCES_INGENIEUR,4
MUSIQUE NUMERIQUE_SCIENCES_INFORMATIQUES SES,4
THEATRE HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE,4
THEATRE HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,4
ARTS_DU_CIRQUE LANGUES_LITTERATURE SVT,3
ARTS_PLA LANGUES_LITTERATURE LITTERATURE_LCA_GREC,3
ARTS_PLA LITTERATURE_LCA_LATIN NUMERIQUE_SCIENCES_INFORMATIQUES,3
ARTS_PLA LITTERATURE_LCA_LATIN SVT,3
ARTS_PLA SVT SCIENCES_INGENIEUR,3
CINEMA HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC,3
DANSE MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,3
HISTOIRE_DES_ARTS NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,3
HISTOIRE_GEO_POLITIQUE SES BIOLOGIE_ECOLOGIE,3
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN PHYSIQUE_CHIMIE,3
LANGUES_LITTERATURE LITTERATURE_LCA_GREC SVT,3
LITTERATURE_LCA_GREC MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,3
LITTERATURE_LCA_GREC MATHS SVT,3
MATHS SES BIOLOGIE_ECOLOGIE,3
MUSIQUE HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,3
MUSIQUE LANGUES_LITTERATURE LITTERATURE_LCA_LATIN,3
MUSIQUE NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,3
THEATRE HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC,3
THEATRE NUMERIQUE_SCIENCES_INFORMATIQUES SVT,3
ARTS_DU_CIRQUE HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,2
ARTS_DU_CIRQUE MATHS SES,2
ARTS_PLA LITTERATURE_LCA_LATIN MATHS,2
CINEMA HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN,2
CINEMA HISTOIRE_GEO_POLITIQUE SCIENCES_INGENIEUR,2
CINEMA LANGUES_LITTERATURE BIOLOGIE_ECOLOGIE,2
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES,2
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_GREC,2
HISTOIRE_DES_ARTS LITTERATURE_LCA_LATIN SVT,2
HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_LATIN NUMERIQUE_SCIENCES_INFORMATIQUES,2
HISTOIRE_GEO_POLITIQUE MATHS BIOLOGIE_ECOLOGIE,2
LITTERATURE_LCA_GREC SVT SES,2
LITTERATURE_LCA_LATIN NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,2
LITTERATURE_LCA_LATIN NUMERIQUE_SCIENCES_INFORMATIQUES SES,2
LITTERATURE_LCA_LATIN NUMERIQUE_SCIENCES_INFORMATIQUES SVT,2
MUSIQUE LITTERATURE_LCA_LATIN SVT,2
MUSIQUE NUMERIQUE_SCIENCES_INFORMATIQUES SVT,2
THEATRE HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES,2
THEATRE LANGUES_LITTERATURE LITTERATURE_LCA_LATIN,2
ARTS_DU_CIRQUE HISTOIRE_GEO_POLITIQUE MATHS,1
ARTS_DU_CIRQUE LANGUES_LITTERATURE PHYSIQUE_CHIMIE,1
ARTS_DU_CIRQUE PHYSIQUE_CHIMIE SES,1
ARTS_PLA LITTERATURE_LCA_GREC MATHS,1
ARTS_PLA LITTERATURE_LCA_GREC SVT,1
ARTS_PLA LITTERATURE_LCA_LATIN PHYSIQUE_CHIMIE,1
ARTS_PLA LITTERATURE_LCA_LATIN SCIENCES_INGENIEUR,1
CINEMA HISTOIRE_GEO_POLITIQUE LITTERATURE_LCA_GREC,1
CINEMA HUMANITES_LITTERATURE_PHILO SCIENCES_INGENIEUR,1
CINEMA LITTERATURE_LCA_LATIN PHYSIQUE_CHIMIE,1
CINEMA LITTERATURE_LCA_LATIN SES,1
CINEMA LITTERATURE_LCA_LATIN SVT,1
CINEMA PHYSIQUE_CHIMIE BIOLOGIE_ECOLOGIE,1
CINEMA SES BIOLOGIE_ECOLOGIE,1
CINEMA SVT SCIENCES_INGENIEUR,1
DANSE HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,1
DANSE LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES,1
DANSE LANGUES_LITTERATURE PHYSIQUE_CHIMIE,1
DANSE NUMERIQUE_SCIENCES_INFORMATIQUES SVT,1
DANSE PHYSIQUE_CHIMIE SES,1
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE SCIENCES_INGENIEUR,1
