Première 2019,Effectifs
Numérique_Sciences_Informatiques Sciences_Ingénieur SES,79
Danse Histoire_Géo_Politique Langues_Littérature,78
Cinema Humanités_Littérature_Philo Maths,77
Cinema Langues_Littérature SVT,75
Numérique_Sciences_Informatiques SVT Sciences_Ingénieur,72
Arts_Pla Numérique_Sciences_Informatiques SES,71
Histoire_Géo_Politique Langues_Littérature Littérature_Lca_Latin,70
Theatre Langues_Littérature Maths,70
Cinema SVT SES,69
Danse Histoire_Géo_Politique Humanités_Littérature_Philo,67
Cinema Histoire_Géo_Politique Maths,65
Musique Humanités_Littérature_Philo SES,64
Musique Humanités_Littérature_Philo Maths,62
Cinema Langues_Littérature Physique_Chimie,61
Arts_Pla Langues_Littérature Physique_Chimie,60
Theatre Humanités_Littérature_Philo Maths,60
Theatre Maths SES,58
Theatre Maths SVT,56
Langues_Littérature Sciences_Ingénieur SES,54
Histoire_Des_Arts Humanités_Littérature_Philo Maths,53
Musique Maths SES,52
Musique Maths SVT,52
Theatre Humanités_Littérature_Philo SVT,52
Histoire_Des_Arts Histoire_Géo_Politique Maths,50
Histoire_Des_Arts Maths SVT,50
Arts_Pla Histoire_Géo_Politique Numérique_Sciences_Informatiques,48
Histoire_Géo_Politique Numérique_Sciences_Informatiques Physique_Chimie,48
Cinema Humanités_Littérature_Philo SVT,46
Cinema Physique_Chimie SVT,46
Humanités_Littérature_Philo Numérique_Sciences_Informatiques SVT,46
Littérature_Lca_Latin Maths Physique_Chimie,45
Histoire_Des_Arts Langues_Littérature SVT,43
Langues_Littérature Physique_Chimie Sciences_Ingénieur,43
Musique Histoire_Géo_Politique Maths,43
Theatre Physique_Chimie SVT,43
Langues_Littérature SVT Sciences_Ingénieur,42
Theatre Langues_Littérature SVT,42
Arts_Pla Humanités_Littérature_Philo Numérique_Sciences_Informatiques,41
Musique Physique_Chimie SVT,41
Musique Langues_Littérature SVT,40
Theatre Histoire_Géo_Politique Maths,40
Histoire_Des_Arts Humanités_Littérature_Philo SVT,38
Physique_Chimie Sciences_Ingénieur SES,38
Theatre Histoire_Géo_Politique SVT,38
Cinema Histoire_Géo_Politique SVT,37
Theatre SVT SES,36
Histoire_Géo_Politique Humanités_Littérature_Philo Littérature_Lca_Grec,34
Humanités_Littérature_Philo Langues_Littérature Littérature_Lca_Grec,34
Histoire_Géo_Politique Littérature_Lca_Grec SES,33
Musique SVT SES,33
Cinema Humanités_Littérature_Philo Physique_Chimie,32
Cinema Numérique_Sciences_Informatiques SES,32
Danse Histoire_Géo_Politique SES,32
Histoire_Géo_Politique Littérature_Lca_Latin Maths,32
Humanités_Littérature_Philo Littérature_Lca_Latin Maths,31
Humanités_Littérature_Philo Maths Sciences_Ingénieur,31
Histoire_Des_Arts Histoire_Géo_Politique SVT,30
Histoire_Des_Arts Langues_Littérature Numérique_Sciences_Informatiques,30
Histoire_Géo_Politique Langues_Littérature Sciences_Ingénieur,30
Arts_Pla Humanités_Littérature_Philo Physique_Chimie,29
Histoire_Géo_Politique Numérique_Sciences_Informatiques Sciences_Ingénieur,29
Humanités_Littérature_Philo Littérature_Lca_Latin SES,29
Histoire_Géo_Politique SVT Sciences_Ingénieur,28
Arts_Pla Numérique_Sciences_Informatiques SVT,27
Arts_Pla Physique_Chimie SES,27
Danse Langues_Littérature SES,27
Humanités_Littérature_Philo Littérature_Lca_Latin Littérature_Lca_Grec,27
2LLCER Humanités_Littérature_Philo,26
Arts_Pla Humanités_Littérature_Philo Littérature_Lca_Latin,26
Histoire_Des_Arts Maths Numérique_Sciences_Informatiques,26
Musique Humanités_Littérature_Philo SVT,26
Musique Maths Numérique_Sciences_Informatiques,26
Danse Maths Physique_Chimie,25
Histoire_Des_Arts Humanités_Littérature_Philo Littérature_Lca_Latin,25
Musique Histoire_Géo_Politique SVT,25
2LLCER Histoire_Géo_Politique,24
Danse Maths SVT,24
Langues_Littérature Littérature_Lca_Latin SES,24
2LLCER SES,23
Danse Langues_Littérature SVT,23
Arts_Du_Cirque Histoire_Géo_Politique Humanités_Littérature_Philo,22
Histoire_Des_Arts SVT SES,22
Cinema Histoire_Géo_Politique Physique_Chimie,21
Humanités_Littérature_Philo Langues_Littérature Sciences_Ingénieur,21
Humanités_Littérature_Philo Littérature_Lca_Latin SVT,21
Cinema Humanités_Littérature_Philo Numérique_Sciences_Informatiques,20
Humanités_Littérature_Philo Littérature_Lca_Grec SES,20
Littérature_Lca_Grec Maths Physique_Chimie,20
Arts_Pla Histoire_Géo_Politique Physique_Chimie,19
Histoire_Géo_Politique Physique_Chimie Sciences_Ingénieur,19
Littérature_Lca_Latin Maths SES,19
Littérature_Lca_Latin Physique_Chimie SVT,19
Musique Langues_Littérature Physique_Chimie,19
Theatre Langues_Littérature Numérique_Sciences_Informatiques,19
Arts_Pla Numérique_Sciences_Informatiques Physique_Chimie,18
Cinema Numérique_Sciences_Informatiques Physique_Chimie,18
Histoire_Géo_Politique Littérature_Lca_Latin SVT,18
Arts_Pla Langues_Littérature Sciences_Ingénieur,17
Arts_Pla Numérique_Sciences_Informatiques Sciences_Ingénieur,17
Danse Humanités_Littérature_Philo SVT,17
Danse Langues_Littérature Maths,17
Theatre Maths Numérique_Sciences_Informatiques,17
Cinema Histoire_Géo_Politique Numérique_Sciences_Informatiques,16
Cinema Numérique_Sciences_Informatiques SVT,16
Cinema Physique_Chimie SES,16
Danse Maths SES,16
Histoire_Des_Arts Langues_Littérature Physique_Chimie,16
Histoire_Des_Arts Physique_Chimie SVT,16
Littérature_Lca_Grec Maths SES,15
Musique Langues_Littérature Numérique_Sciences_Informatiques,15
Arts_Du_Cirque Humanités_Littérature_Philo Langues_Littérature,14
Histoire_Géo_Politique Langues_Littérature Littérature_Lca_Grec,14
Littérature_Lca_Grec Maths SVT,14
Danse SVT SES,13
Langues_Littérature Littérature_Lca_Latin Maths,13
Littérature_Lca_Latin Maths SVT,13
Maths Physique_Chimie Biologie_Ecologie,13
Danse Histoire_Géo_Politique Maths,12
Danse Humanités_Littérature_Philo SES,12
Histoire_Géo_Politique Humanités_Littérature_Philo Sciences_Ingénieur,12
Humanités_Littérature_Philo Numérique_Sciences_Informatiques Physique_Chimie,12
Musique Humanités_Littérature_Philo Numérique_Sciences_Informatiques,12
Theatre Langues_Littérature Physique_Chimie,12
2LLCER SVT,11
Danse Physique_Chimie SVT,11
Histoire_Des_Arts Histoire_Géo_Politique Physique_Chimie,11
Histoire_Des_Arts Maths Sciences_Ingénieur,11
Humanités_Littérature_Philo Numérique_Sciences_Informatiques Sciences_Ingénieur,11
Littérature_Lca_Latin SVT SES,11
Musique Humanités_Littérature_Philo Physique_Chimie,11
Theatre Humanités_Littérature_Philo Physique_Chimie,11
Cinema Maths Sciences_Ingénieur,10
Arts_Du_Cirque Histoire_Géo_Politique Langues_Littérature,9
Cinema Numérique_Sciences_Informatiques Sciences_Ingénieur,9
Danse Histoire_Géo_Politique SVT,9
Humanités_Littérature_Philo Sciences_Ingénieur SES,9
Musique Numérique_Sciences_Informatiques Physique_Chimie,9
Theatre Humanités_Littérature_Philo Numérique_Sciences_Informatiques,9
Theatre Numérique_Sciences_Informatiques SES,9
2LLCER Maths,8
Arts_Pla Langues_Littérature Littérature_Lca_Latin,8
Danse Humanités_Littérature_Philo Maths,8
Histoire_Des_Arts Histoire_Géo_Politique Littérature_Lca_Latin,8
Humanités_Littérature_Philo Physique_Chimie Sciences_Ingénieur,8
Littérature_Lca_Grec Maths Numérique_Sciences_Informatiques,8
Musique Physique_Chimie SES,8
Arts_Du_Cirque Humanités_Littérature_Philo SVT,7
Arts_Pla Cinema Langues_Littérature,7
Arts_Pla Histoire_Géo_Politique Littérature_Lca_Latin,7
Humanités_Littérature_Philo Littérature_Lca_Grec Maths,7
Langues_Littérature Littérature_Lca_Latin SVT,7
Musique Maths Sciences_Ingénieur,7
Musique Numérique_Sciences_Informatiques SVT,7
Theatre Numérique_Sciences_Informatiques SVT,7
Arts_Du_Cirque Histoire_Géo_Politique SVT,6
Arts_Du_Cirque Langues_Littérature Maths,6
Arts_Pla Histoire_Géo_Politique Sciences_Ingénieur,6
Cinema Langues_Littérature Sciences_Ingénieur,6
Histoire_Des_Arts Humanités_Littérature_Philo Numérique_Sciences_Informatiques,6
Humanités_Littérature_Philo Littérature_Lca_Grec SVT,6
Humanités_Littérature_Philo SVT Sciences_Ingénieur,6
Langues_Littérature Littérature_Lca_Latin Physique_Chimie,6
Littérature_Lca_Grec Physique_Chimie SVT,6
Theatre Physique_Chimie SES,6
Arts_Du_Cirque Humanités_Littérature_Philo Maths,5
Arts_Du_Cirque SVT SES,5
Arts_Pla Humanités_Littérature_Philo Sciences_Ingénieur,5
Arts_Pla SVT Sciences_Ingénieur,5
Histoire_Des_Arts Humanités_Littérature_Philo Physique_Chimie,5
Histoire_Des_Arts Physique_Chimie SES,5
Histoire_Des_Arts Theatre Humanités_Littérature_Philo,5
Littérature_Lca_Latin Maths Numérique_Sciences_Informatiques,5
Theatre Histoire_Géo_Politique Physique_Chimie,5
Theatre Humanités_Littérature_Philo Littérature_Lca_Grec,5
Arts_Pla Humanités_Littérature_Philo Littérature_Lca_Grec,4
Arts_Pla Langues_Littérature Littérature_Lca_Grec,4
Arts_Pla Physique_Chimie Sciences_Ingénieur,4
Cinema Sciences_Ingénieur SES,4
Histoire_Des_Arts Langues_Littérature Littérature_Lca_Latin,4
Histoire_Des_Arts Littérature_Lca_Latin SES,4
Histoire_Des_Arts Numérique_Sciences_Informatiques SES,4
Histoire_Géo_Politique Littérature_Lca_Grec SVT,4
Histoire_Géo_Politique Littérature_Lca_Latin Numérique_Sciences_Informatiques,4
Histoire_Géo_Politique Maths Biologie_Ecologie,4
Musique Histoire_Géo_Politique Physique_Chimie,4
Theatre Langues_Littérature Littérature_Lca_Latin,4
2LLCER Arts_Pla,3
2LLCER Cinema,3
Arts_Du_Cirque Maths Physique_Chimie,3
Arts_Pla Sciences_Ingénieur SES,3
Cinema Theatre Langues_Littérature,3
Histoire_Des_Arts Numérique_Sciences_Informatiques Physique_Chimie,3
Histoire_Des_Arts Numérique_Sciences_Informatiques SVT,3
Histoire_Géo_Politique Littérature_Lca_Grec Maths,3
Histoire_Géo_Politique Littérature_Lca_Latin Physique_Chimie,3
Histoire_Géo_Politique SES Biologie_Ecologie,3
Humanités_Littérature_Philo Littérature_Lca_Latin Numérique_Sciences_Informatiques,3
Langues_Littérature Littérature_Lca_Grec SES,3
Littérature_Lca_Grec SVT SES,3
Musique Histoire_Géo_Politique Littérature_Lca_Latin,3
Musique Numérique_Sciences_Informatiques SES,3
Theatre Histoire_Géo_Politique Numérique_Sciences_Informatiques,3
Theatre Humanités_Littérature_Philo Littérature_Lca_Latin,3
Theatre Maths Sciences_Ingénieur,3
2LLCER Littérature_Lca_Latin,2
2LLCER Numérique_Sciences_Informatiques,2
Arts_Du_Cirque Histoire_Géo_Politique Maths,2
Arts_Du_Cirque Histoire_Géo_Politique SES,2
Arts_Pla Littérature_Lca_Grec Maths,2
Arts_Pla Littérature_Lca_Grec SVT,2
Arts_Pla Musique Langues_Littérature,2
Arts_Pla Theatre Histoire_Géo_Politique,2
Arts_Pla Theatre SES,2
