ANNEE;SEXE;AGEQ;POPACTBIT;TACTBIT
1978;F;T25;1454;67.4
1978;F;T2549;5436;63.2
1978;F;T30;1189;65.3
1978;F;T35;896;62.7
1978;F;T40;946;60.7
1978;F;T45;951;57.9
1978;F;T50;834;51.3
1978;F;T5064;1696;41.7
1978;F;T55;632;44.3
1978;F;T5564;862;35.3
1978;F;T60;231;22.6
1978;F;T65;110;8.3
1978;F;T70;69;2.4
1978;E;T;23606;57.9
1978;E;T15;1369;31.9
1978;E;T1524;4702;55.1
1978;E;T1564;23142;68.7
1978;E;T20;3333;78.6
1978;E;T25;3537;81.8
1978;E;T2549;13923;80.2
1978;E;T30;3032;81.6
1978;E;T35;2357;80.7
1978;E;T40;2463;79.1
1978;E;T45;2535;77.0
1978;E;T50;2264;71.1
1978;E;T5064;4517;58.0
1978;E;T55;1677;61.8
1978;E;T5564;2252;48.9
1978;E;T60;575;30.4
1978;E;T65;288;12.1
1978;E;T70;176;3.7
1979;H;T;14281;72.3
1979;H;T15;805;36.4
1979;H;T1524;2585;60.2
1979;H;T1564;14032;83.1
1979;H;T20;1780;85.6
1979;H;T25;2072;95.8
1979;H;T2549;8587;96.9
1979;H;T30;1969;97.4
1979;H;T35;1450;98.0
1979;H;T40;1520;97.7
1979;H;T45;1575;96.0
1979;H;T50;1416;91.9
1979;H;T5064;2860;76.6
1979;H;T55;1158;80.5
1979;H;T5564;1444;65.9
1979;H;T60;286;38.0
1979;H;T65;158;14.7
1979;H;T70;91;5.0
1979;F;T;9729;45.5
1979;F;T15;618;28.7
1979;F;T1524;2149;50.3
1979;F;T1564;9555;56.0
1979;F;T20;1531;72.2
1979;F;T25;1493;69.5
1979;F;T2549;5654;65.0
1979;F;T30;1316;67.7
1979;F;T35;922;64.5
1979;F;T40;964;62.3
1979;F;T45;959;59.0
1979;F;T50;860;52.8
1979;F;T5064;1752;42.8
1979;F;T55;702;44.7
1979;F;T5564;893;36.2
1979;F;T60;190;21.2
1979;F;T65;99;7.5
1979;F;T70;75;2.5
1979;E;T;24011;58.3
1979;E;T15;1423;32.6
1979;E;T1524;4734;55.3
1979;E;T1564;23588;69.5
1979;E;T20;3311;78.8
1979;E;T25;3566;82.7
1979;E;T2549;14241;81.1
1979;E;T30;3285;82.8
1979;E;T35;2373;81.5
1979;E;T40;2484;80.1
1979;E;T45;2534;77.6
1979;E;T50;2276;71.8
1979;E;T5064;4613;58.9
1979;E;T55;1860;61.8
1979;E;T5564;2336;50.2
1979;E;T60;476;28.9
1979;E;T65;257;10.7
1979;E;T70;166;3.4
1980;H;T;14405;72.1
1980;H;T15;795;35.3
1980;H;T1524;2564;59.2
1980;H;T1564;14160;82.9
1980;H;T20;1769;85.1
1980;H;T25;2072;95.9
1980;H;T2549;8689;97.2
1980;H;T30;2082;97.5
1980;H;T35;1482;98.0
1980;H;T40;1496;98.0
1980;H;T45;1557;97.0
1980;H;T50;1448;91.6
1980;H;T5064;2907;76.3
1980;H;T55;1166;79.0
1980;H;T5564;1459;65.5
1980;H;T60;293;39.0
1980;H;T65;151;14.3
1980;H;T70;94;5.1
1980;F;T;9867;45.6
1980;F;T15;590;27.0
1980;F;T1524;2098;49.0
1980;F;T1564;9717;56.4
1980;F;T20;1508;72.0
1980;F;T25;1496;69.6
1980;F;T2549;5803;65.8
1980;F;T30;1406;67.7
1980;F;T35;974;66.4
1980;F;T40;965;64.1
1980;F;T45;961;59.4
1980;F;T50;885;54.2
1980;F;T5064;1816;43.9
1980;F;T55;740;45.6
1980;F;T5564;932;37.3
1980;F;T60;192;21.9
1980;F;T65;86;6.6
1980;F;T70;63;2.1
1980;E;T;24272;58.4
1980;E;T15;1386;31.2
1980;E;T1524;4662;54.1
1980;E;T1564;23877;69.6
1980;E;T20;3277;78.5
1980;E;T25;3568;82.8
1980;E;T2549;14492;81.6
1980;E;T30;3488;82.8
1980;E;T35;2456;82.5
1980;E;T40;2462;81.1
1980;E;T45;2518;78.1
1980;E;T50;2332;72.6
1980;E;T5064;4723;59.5
1980;E;T55;1906;61.5
1980;E;T5564;2391;50.6
1980;E;T60;485;29.8
1980;E;T65;237;10.0
1980;E;T70;157;3.2
1981;H;T;14371;71.4
1981;H;T15;757;33.8
1981;H;T1524;2508;58.1
1981;H;T1564;14164;81.8
1981;H;T20;1751;84.3
1981;H;T25;2036;95.2
1981;H;T2549;8755;96.9
1981;H;T30;2176;97.2
1981;H;T35;1566;97.9
1981;H;T40;1435;97.7
1981;H;T45;1543;97.1
1981;H;T50;1451;91.0
1981;H;T5064;2902;73.2
1981;H;T55;1126;77.3
1981;H;T5564;1451;61.3
1981;H;T60;325;35.7
1981;H;T65;124;13.0
1981;H;T70;83;4.4
1981;F;T;10011;45.9
1981;F;T15;557;25.6
1981;F;T1524;2074;48.2
1981;F;T1564;9881;56.5
1981;F;T20;1517;71.4
1981;F;T25;1494;69.7
1981;F;T2549;5954;66.7
1981;F;T30;1498;69.0
1981;F;T35;1057;68.3
1981;F;T40;945;64.9
1981;F;T45;960;59.6
1981;F;T50;904;55.7
1981;F;T5064;1853;43.4
1981;F;T55;710;44.8
1981;F;T5564;950;35.8
1981;F;T60;240;22.5
1981;F;T65;71;5.9
1981;F;T70;59;1.9
1981;E;T;24382;58.1
1981;E;T15;1314;29.8
1981;E;T1524;4582;53.2
1981;E;T1564;24045;69.1
