"Rentrée";"Niveau";"Etudiants"
2013;"L3";164473
2014;"L3";164969
2013;"M1";171701
2015;"L3";166088
2014;"M1";170902
2016;"L3";170605
2015;"M1";175653
2017;"L3";174213
2016;"M1";178318
2018;"L3";180619
2017;"M1";170026
2019;"L3";183370
2018;"M1";168098
2020;"L3";187756
2019;"M1";166794
2021;"L3";207486
2020;"M1";162915
2022;"L3";207917
2021;"M1";161522
2023;"L3";192506
2022;"M1";151522
2024;"L3";222327
2023;"M1";155259
2024;"M1";160315
