Code UAI,Etablissement,Rentrée,Charge totale d'enseignement,Heures complémentaires,Heures complémentaires des permanents,Heures des vacataires,Heures complémentaires payables
0840685N,Avignon Université,2011,,41053.0,28207.0,12846.0,
0840685N,Avignon Université,2012,,39498.0,26838.0,12660.0,
0840685N,Avignon Université,2013,,39980.0,12394.0,27586.0,
0840685N,Avignon Université,2014,,40627.0,12114.0,28513.0,
0840685N,Avignon Université,2015,,43865.0,12580.0,31285.0,
0840685N,Avignon Université,2016,,44282.0,12842.0,31440.0,
0840685N,Avignon Université,2017,,46961.0,13371.0,33590.0,
0840685N,Avignon Université,2018,,44397.0,12669.0,31729.0,
0840685N,Avignon Université,2019,,42556.0,11727.0,30829.0,
0870669E,Université de Limoges,2015,,118992.0,51696.0,67294.0,
0870669E,Université de Limoges,2016,,120886.0,55495.0,65390.0,
0870669E,Université de Limoges,2017,,119470.0,54672.0,64798.0,
0870669E,Université de Limoges,2018,,109210.0,49608.0,59602.0,
0870669E,Université de Limoges,2019,,107762.0,52583.0,55179.0,
0450855K,Université d'Orléans,2016,,136543.0,73241.0,63302.0,
0450855K,Université d'Orléans,2017,,137517.0,72263.0,65254.0,
0450855K,Université d'Orléans,2018,,127805.0,67246.0,60560.0,
0450855K,Université d'Orléans,2019,,124330.0,67768.0,56562.0,
0450855K,Université d'Orléans,2020,,124747.0,70954.0,53792.0,
0450855K,Université d'Orléans,2021,,141160.0,78879.0,62281.0,
0640251A,Université de Pau et des Pays de l'Adour,2018,,79322.0,,,
0640251A,Université de Pau et des Pays de l'Adour,2019,,87146.0,,,
0640251A,Université de Pau et des Pays de l'Adour,2020,,95639.0,,,
0640251A,Université de Pau et des Pays de l'Adour,2021,,99391.0,,,
0691775E,Université Lumière - Lyon 2,2015,,134927.0,,6839.0,
0691775E,Université Lumière - Lyon 2,2016,,120137.0,,6706.0,
0691775E,Université Lumière - Lyon 2,2017,,136844.0,,17281.0,
0691775E,Université Lumière - Lyon 2,2018,,141814.0,,15437.0,
0691775E,Université Lumière - Lyon 2,2019,,134390.0,,12613.0,
0691775E,Université Lumière - Lyon 2,2020,,145507.0,,17648.0,
0691775E,Université Lumière - Lyon 2,2021,,141896.0,,14744.0,
0691774D,Université Claude Bernard - Lyon 1,2012,,160244.0,83654.0,76590.0,
0691774D,Université Claude Bernard - Lyon 1,2013,,158883.0,84715.0,74168.0,
0691774D,Université Claude Bernard - Lyon 1,2014,,162764.0,90038.0,72726.0,
0691774D,Université Claude Bernard - Lyon 1,2015,,168915.0,95274.0,73641.0,
0691774D,Université Claude Bernard - Lyon 1,2016,,168488.0,92621.0,75867.0,
0691774D,Université Claude Bernard - Lyon 1,2017,,173301.0,94519.0,78782.0,
0691774D,Université Claude Bernard - Lyon 1,2018,,184191.0,100910.0,83281.0,
0691774D,Université Claude Bernard - Lyon 1,2019,,177913.0,97449.0,80464.0,
0632084Y,Université Clermont Auvergne,2016,,166743.0,,,
0632084Y,Université Clermont Auvergne,2017,,172459.0,,,
0632084Y,Université Clermont Auvergne,2018,,175607.0,,,
0751717J,Université Paris 1 - Panthéon Sorbonne,2015,,134502.0,30535.0,103967.0,
0751717J,Université Paris 1 - Panthéon Sorbonne,2016,,132880.0,28374.0,104506.0,
0751717J,Université Paris 1 - Panthéon Sorbonne,2017,,129535.0,27243.0,102292.0,
0751717J,Université Paris 1 - Panthéon Sorbonne,2018,,147462.0,32747.0,114715.0,
0751717J,Université Paris 1 - Panthéon Sorbonne,2019,,179693.0,42321.0,137372.0,
0952259P,CY Cergy Paris Université,2014,310564.0,122524.0,70340.0,52184.0,
0952259P,CY Cergy Paris Université,2015,327461.0,132288.0,77199.0,55089.0,
0952259P,CY Cergy Paris Université,2016,331492.0,135641.0,80630.0,55011.0,
0952259P,CY Cergy Paris Université,2017,343691.0,144326.0,86416.0,57910.0,
0597132G,Université Polytechnique Hauts-de-France,2014,,111073.0,,,
0597132G,Université Polytechnique Hauts-de-France,2015,,113042.0,,,
