"etab","Libellé","UAI","Udice","CURIF","AUREF","IDEx","ISITE","étiquettes","nouveau.UAI"
"PARIS DAUPHINE","Université Paris-Dauphine","0750736T",TRUE,FALSE,FALSE,TRUE,FALSE,"Udice Idex",NA
"PARIS I","Paris 1 - Panthéon Sorbonne","0751717J",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"PARIS II","Panthéon-Assas","0751718K",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PARIS III","Sorbonne Nouvelle - Paris 3","0751719L",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PARIS V","Paris Descartes","0751721N",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0755976N"
"PARIS VII","Paris Diderot","0751723R",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0755976N"
"DE PARIS","Université de Paris","0755976N",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"PARIS VIII","Paris 8 - Vincennes - Saint-Denis","0931827F",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"PARIS X","Paris Nanterre","0921204J",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"PARIS XI","Paris-Sud","0911101C",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex","0912408Y"
"PARIS SACLAY","Paris Saclay","0912408Y",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"PARIS XII","Paris-Est Créteil Val-de-Marne","0941111X",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PARIS XIII","Sorbonne Paris Nord","0931238R",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PAU","Pau et des Pays de l'Adour","0640251A",FALSE,FALSE,TRUE,FALSE,TRUE,"AUREF Isite",NA
"PERPIGNAN","Perpignan - Via Domitia","0660437S",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"POITIERS","Poitiers","0860856N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"POLYNESIE FRANCAISE","la Polynésie Française","9840349G",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PRES GRENOBLE","Université Grenoble Alpes","0383412C",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"PRES PARIS EST","Université Paris-Est","0772710C",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"REIMS","Reims Champagne-Ardenne","0511296G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"RENNES I","Rennes 1","0350936C",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"RENNES II","Rennes 2","0350937D",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"ROUEN","Rouen","0761904G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"SAINT-ETIENNE","Jean Monnet","0421095M",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"SORBONNE U","Sorbonne Université (Sorbonne U)","0755890V",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"STRASBOURG","Strasbourg","0673021V",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex",NA
"TOULON","Toulon","0830766G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"TOULOUSE I","Toulouse - Jean Jaurès","0311383K",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"TOULOUSE II","Toulouse 1 - Capitole","0311382J",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"TOULOUSE III","Toulouse 3 - Paul Sabatier","0311384L",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF",NA
"TOURS","Tours","0370800U",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF",NA
"UT BELFORT-MONTBELIARD","Université de technologie de Belfort-Montbéliard","0900424X",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"UT COMPIEGNE","Université de technologie de Compiègne","0601223D",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"UT TROYES","Université de technologie de Troyes","0101060Y",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"VALENCIENNES","Valenciennes","0593279U",FALSE,FALSE,FALSE,FALSE,FALSE,"","0597132G"
"VALENCIENNES","polytechnique des hauts de France","0597132G",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA
"VERSAILLES - ST QUENTIN","Versailles Saint-Quentin-en-Yvelines","0781944P",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA


