UAI;Etablissement;Type;Rentrée;Recupere;Lien;HC.Total;HC.Titulaires;HC.Vacataires
0691774D;Lyon 1;Universite;2006;Oui;;NA;NA;NA
0691774D;Lyon 1;Universite;2007;Oui;;NA;NA;NA
0691774D;Lyon 1;Universite;2008;Oui;;NA;NA;NA
0691774D;Lyon 1;Universite;2009;Oui;;NA;NA;NA
0691774D;Lyon 1;Universite;2010;Oui;;NA;NA;NA
0691774D;Lyon 1;Universite;2011;Oui;;187928;94419;93509
0691774D;Lyon 1;Universite;2012;Oui;;206281;101991;104290
0691774D;Lyon 1;Universite;2013;Oui;;211390;108068;103322
0691774D;Lyon 1;Universite;2014;Oui;;219047;112983;106064
0691774D;Lyon 1;Universite;2015;Oui;;223787;119150;104637
0691774D;Lyon 1;Universite;2017;Oui;;236224;126765;109459
0691775E;Lyon 2;Universite;2018;Oui;;NA;NA;95556
0692437Z;Lyon 3;Universite;2013;Oui;;116066;NA;NA
0692437Z;Lyon 3;Universite;2014;Oui;;120455;NA;NA
0692437Z;Lyon 3;Universite;2015;Oui;;120156;NA;NA
0692437Z;Lyon 3;Universite;2016;Oui;;124459;NA;NA
0692437Z;Lyon 3;Universite;2017;Oui;;126423;NA;NA
0692437Z;Lyon 3;Universite;2018;Oui;;125970;NA;NA
0692437Z;Lyon 3;Universite;2019;Oui;;118404;NA;NA
0342321N;Montpellier;Universite;2014;Oui;;79540;31853;47687
0342321N;Montpellier;Universite;2015;Oui;;83876;36997;46879
0342321N;Montpellier;Universite;2016;Oui;;88113;40283;47830
0342321N;Montpellier;Universite;2017;Oui;;88855;39267;49588
0342321N;Montpellier;Universite;2018;Oui;;85960;39973;45987
0921204J;Nanterre;Universite;2014;Oui;;NA;NA;96664
0921204J;Nanterre;Universite;2016;Oui;;NA;NA;97196
0440984F;Nantes;Universite;2004;Oui;;222916;89048;133868
0440984F;Nantes;Universite;2005;Oui;;183866;77556;106310
0440984F;Nantes;Universite;2006;Oui;;198423;88264;110159
