Etablissement,Typologie,PerimEx,Indicateur,Valeur100,Valeur,Rentrée.référence,Rentrée,Rang,Rang_Valeur100,Rang_Typologie
Université Jean Monnet,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),115.19067623760122,6836.668921223144,2014,2024,49,20,28
Université Jean Monnet,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),128.1900528301602,9250.746106627259,2014,2024,46,18,25
Université Jean Moulin - Lyon 3,Université tertiaire - droit et économie,NINI,SCSP,125.70505011856112,102528805,2014,2024,46,7,2
Université Jean Moulin - Lyon 3,Université tertiaire - droit et économie,NINI,SCSP/E-EC,121.50367812261989,137070.5949197861,2014,2024,41,10,1
Université Jean Moulin - Lyon 3,Université tertiaire - droit et économie,NINI,SCSP/Etudiant,124.82799230572388,4018.8462292254626,2014,2024,66,10,2
Université Jean Moulin - Lyon 3,Université tertiaire - droit et économie,NINI,SCSP/Etudiant(hors doc.),124.01073632743484,4088.5594369342425,2014,2024,66,11,2
Université Jean Moulin - Lyon 3,Université tertiaire - droit et économie,NINI,Ressources/Etudiant(hors doc.),136.47742093246015,5564.423655142162,2014,2024,66,11,2
Université Le Havre Normandie,Université pluridisciplinaire hors santé,NINI,SCSP,115.70403436499237,68286708,2014,2024,59,43,13
Université Le Havre Normandie,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,129.36174888914516,152086.20935412028,2014,2024,8,5,4
Université Le Havre Normandie,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,124.84175744461939,10233.284579649333,2014,2024,6,9,3
Université Le Havre Normandie,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant(hors doc.),124.88037654422493,10536.446227434039,2014,2024,6,9,3
Université Le Havre Normandie,Université pluridisciplinaire hors santé,NINI,Ressources/Etudiant(hors doc.),141.21854823907634,13689.720413516432,2014,2024,9,5,4
Université Lumière - Lyon 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP,110.52611140519957,132063193,2014,2024,36,50,4
Université Lumière - Lyon 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/E-EC,103.15047296010285,129600.77821393523,2014,2024,50,48,4
Université Lumière - Lyon 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant,114.62976215860105,5008.464540351942,2014,2024,63,21,7
Université Lumière - Lyon 2,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant(hors doc.),113.46616381982952,5158.516971993282,2014,2024,63,23,7
Université Lumière - Lyon 2,Université tertiaire - lettres et sciences Humaines,NINI,Ressources/Etudiant(hors doc.),130.1448482117247,6533.676145463068,2014,2024,62,16,6
Université Paris 1 - Panthéon Sorbonne,Université tertiaire - droit et économie,NINI,SCSP,116.67328951113495,202684156,2014,2024,22,39,1
Université Paris 1 - Panthéon Sorbonne,Université tertiaire - droit et économie,NINI,SCSP/E-EC,111.05568668282105,125113.67654320988,2014,2024,59,27,2
Université Paris 1 - Panthéon Sorbonne,Université tertiaire - droit et économie,NINI,SCSP/Etudiant,104.75921245650504,5037.007778523323,2014,2024,62,35,1
Université Paris 1 - Panthéon Sorbonne,Université tertiaire - droit et économie,NINI,SCSP/Etudiant(hors doc.),102.13606444894012,5303.23022580392,2014,2024,60,38,1
Université Paris 1 - Panthéon Sorbonne,Université tertiaire - droit et économie,NINI,Ressources/Etudiant(hors doc.),109.29142230463262,6852.979983777702,2014,2024,61,37,1
Université Paris 8 - Vincennes - Saint-Denis,Université tertiaire - lettres et sciences Humaines,NINI,SCSP,117.71122799483172,137034908,2014,2024,35,35,3
Université Paris 8 - Vincennes - Saint-Denis,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/E-EC,112.31061921978794,128309.83895131086,2014,2024,52,26,6
Université Paris 8 - Vincennes - Saint-Denis,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant,118.98832496028011,6353.621476261128,2014,2024,52,16,2
Université Paris 8 - Vincennes - Saint-Denis,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant(hors doc.),118.03794887502772,6672.9113751460845,2014,2024,52,16,2
Université Paris 8 - Vincennes - Saint-Denis,Université tertiaire - lettres et sciences Humaines,NINI,Ressources/Etudiant(hors doc.),124.29634537570509,7986.317296455006,2014,2024,55,20,2
Université Paris Dauphine - PSL,NA,NINI,SCSP,107.66446321890686,62582705,2014,2024,61,52,1
Université Paris Dauphine - PSL,NA,NINI,SCSP/E-EC,102.20194544511617,102426.68576104747,2014,2024,66,50,1
Université Paris Dauphine - PSL,NA,NINI,SCSP/Etudiant,91.86955094563574,5618.845843059796,2014,2024,57,50,1
Université Paris Dauphine - PSL,NA,NINI,SCSP/Etudiant(hors doc.),90.71201927413591,5793.085716930483,2014,2024,57,52,1
Université Paris Dauphine - PSL,NA,NINI,Ressources/Etudiant(hors doc.),106.43032049564802,11150.544015551235,2014,2024,24,47,1
Université Paris Nanterre,Université tertiaire - lettres et sciences Humaines,NINI,SCSP,118.55688819055304,191211480,2014,2024,23,25,1
Université Paris Nanterre,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/E-EC,113.04627585765881,126966.45418326693,2014,2024,56,23,7
Université Paris Nanterre,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant,114.2043016301158,6104.312348359085,2014,2024,55,23,5
Université Paris Nanterre,Université tertiaire - lettres et sciences Humaines,NINI,SCSP/Etudiant(hors doc.),112.85862813568922,6351.274828937753,2014,2024,54,25,4
Université Paris Nanterre,Université tertiaire - lettres et sciences Humaines,NINI,Ressources/Etudiant(hors doc.),119.48243837809143,7544.581511990965,2014,2024,57,25,4
Université Paris-Est Créteil,Université pluridisciplinaire avec santé,NINI,SCSP,122.28954038654147,230006400,2014,2024,16,11,11
Université Paris-Est Créteil,Université pluridisciplinaire avec santé,NINI,SCSP/E-EC,114.10152404323925,142595.4122752635,2014,2024,27,22,12
Université Paris-Est Créteil,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant,91.05296540928761,5913.5210181257235,2014,2024,56,52,31
Université Paris-Est Créteil,Université pluridisciplinaire avec santé,NINI,SCSP/Etudiant(hors doc.),92.37102476771626,5999.123630672926,2014,2024,56,49,31
Université Paris-Est Créteil,Université pluridisciplinaire avec santé,NINI,Ressources/Etudiant(hors doc.),107.531690817001,8218.595331246739,2014,2024,53,44,30
