"","etab","Libellé","UAI","Udice","CURIF","AUREF","Idex","Isite","étiquettes"
"54","PARIS VIII","Paris 8 - Vincennes - Saint-Denis","0931827F",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"55","PARIS X","Paris Nanterre","0921204J",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"56","PARIS XI","Paris-Sud","0911101C",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"57","PARIS XII","Paris-Est Créteil Val-de-Marne","0941111X",FALSE,FALSE,FALSE,FALSE,FALSE,""
"58","PARIS XIII","Sorbonne Paris Nord","0931238R",FALSE,FALSE,FALSE,FALSE,FALSE,""
"59","PAU","Pau et des Pays de l'Adour","0640251A",FALSE,FALSE,TRUE,FALSE,TRUE,"AUREF Isite"
"60","PERPIGNAN","Perpignan - Via Domitia","0660437S",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"61","POITIERS","Poitiers","0860856N",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"62","POLYNESIE FRANCAISE","la Polynésie Française","9840349G",FALSE,FALSE,FALSE,FALSE,FALSE,""
"63","PRES GRENOBLE","Université Grenoble Alpes","0383412C",FALSE,FALSE,FALSE,FALSE,FALSE,""
"64","PRES PARIS EST","Université Paris-Est","0772710C",FALSE,FALSE,FALSE,FALSE,FALSE,""
"65","REIMS","Reims Champagne-Ardenne","0511296G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"66","RENNES I","Rennes 1","0350936C",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"67","RENNES II","Rennes 2","0350937D",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"68","ROUEN","Rouen","0761904G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"69","SAINT-ETIENNE","Jean Monnet","0421095M",FALSE,FALSE,FALSE,FALSE,FALSE,""
"70","STRASBOURG","Strasbourg","0673021V",TRUE,TRUE,FALSE,TRUE,FALSE,"Udice CURIF Idex"
"71","TOULON","Toulon","0830766G",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"72","TOULOUSE I","Toulouse - Jean Jaurès","0311383K",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"73","TOULOUSE II","Toulouse 1 - Capitole","0311382J",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"74","TOULOUSE III","Toulouse 3 - Paul Sabatier","0311384L",FALSE,TRUE,FALSE,FALSE,FALSE,"CURIF"
"75","TOURS","Tours","0370800U",FALSE,FALSE,TRUE,FALSE,FALSE,"AUREF"
"76","UT BELFORT-MONTBELIARD","Université de technologie de Belfort-Montbéliard","0900424X",FALSE,FALSE,FALSE,FALSE,FALSE,""
"77","UT COMPIEGNE","Université de technologie de Compiègne","0601223D",FALSE,FALSE,FALSE,FALSE,FALSE,""
"78","UT TROYES","Université de technologie de Troyes","0101060Y",FALSE,FALSE,FALSE,FALSE,FALSE,""
"79","VALENCIENNES","polytechnique des hauts de France","0593279U",FALSE,FALSE,FALSE,FALSE,FALSE,""
"80","VERSAILLES - ST QUENTIN","Versailles Saint-Quentin-en-Yvelines","0781944P",FALSE,FALSE,FALSE,FALSE,FALSE,""
