"link";"reference";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/UPS76-OLIDAS-019/Default.aspx";"UPS76-OLIDAS-019";"VANDOEUVRE LES NANCY";"lundi 23 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"Entre 2461 et 3132 € bruts mensuels selon expérience";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5554-ABDAOU-001/Default.aspx";"UMR5554-ABDAOU-001";"MONTPELLIER";"lundi 23 novembre 2020";"CDD Technique/Administratif";"18";"Temps complet";"Environ 2400-2900€ bruts mensuels selon expérience";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7592-NICMIN-003/Default.aspx";"UMR7592-NICMIN-003";"PARIS 13";"lundi 23 novembre 2020";"CDD Technique/Administratif";"18";"Temps complet";"2151 et 3068 euros bruts mensuel";"Bac+3";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5525-ELSGEN-018/Default.aspx";"UMR5525-ELSGEN-018";"LA TRONCHE";"lundi 23 novembre 2020";"CDD Scientifique";"36";"Temps complet";"2135€ bruts mensuels";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/MOY2000-LAUSCH1-021/Default.aspx";"MOY2000-LAUSCH1-021";"SOPHIA ANTIPOLIS";"lundi 23 novembre 2020";"CDD Technique/Administratif";"6";"Temps complet";"entre 2109 et 2694 euros bruts mensuels selon expérience professionnelle";"Bac+3";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/FR636-EVEMAG-035/Default.aspx";"FR636-EVEMAG-035";"GUYANCOURT";"mardi 24 novembre 2020";"CDD Technique/Administratif";"24";"Temps complet";"de 2510 à 3068 € brut selon expérience";"Ingénieur";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8212-JEADUT-001/Default.aspx";"UMR8212-JEADUT-001";"GIF SUR YVETTE";"mardi 24 novembre 2020";"CDD Scientifique";"22";"Temps complet";"grille CNRS";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR9012-REJBOD-022/Default.aspx";"UMR9012-REJBOD-022";"ORSAY";"mardi 24 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"Entre 2151€ et 2422€ brut mensuel selon expérience";"Bac+3";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5277-EMIDUP-084/Default.aspx";"UMR5277-EMIDUP-084";"TOULOUSE";"mardi 24 novembre 2020";"CDD Scientifique";"12";"Temps complet";"3770 € bruts par mois";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR6164-MAUETT-005/Default.aspx";"UMR6164-MAUETT-005";"RENNES";"mardi 24 novembre 2020";"CDD Scientifique";"6";"Temps complet";"Salaire brut mensuel 2648€ à 3054€ selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR8586-MARMAG-025/Default.aspx";"UMR8586-MARMAG-025";"AUBERVILLIERS";"mardi 24 novembre 2020";"CDD Technique/Administratif";"6";"Temps complet";"entre 1970 euros et 2411 euros bruts mensuels selon l'expérience";"Bac+2";"1 à 4 années"
