link;reference;title;jobLocation;datePosted;employmentType;duration.months;workHours;baseSalary;Salaire.brut.min;Salaire.brut.max;educationRequirements;experienceRequirements
https://emploi.cnrs.fr/Offres/CDD/UMR5506-PHIFRA0-003/Default.aspx;UMR5506-PHIFRA0-003;Ingénieur de recherche robotique H/F;MONTPELLIER;lundi 29 mars 2021;CDD Technique/Administratif;9;Temps complet;Environ 2450 euros bruts mensuels;2450;;Doctorat;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR5214-JEAGAY-020/Default.aspx;UMR5214-JEAGAY-020;Ingénieur de Recherche (H/F) en développement électronique hardware/software;MONTPELLIER;lundi 8 mars 2021;CDD Technique/Administratif;30;Temps complet;Environ 2 450 € bruts;2450;;Supérieur à bac+5;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR6303-FREDEM-001/Default.aspx;UMR6303-FREDEM-001;Ingénieur(e) de recherche (H/F) en conception mécanique et/ou fabrication additive;SEVENANS;mercredi 10 mars 2021;CDD Scientifique;12;Temps complet;2437 €/brut mensuel;2437;;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR5275-FABCAR-042/Default.aspx;UMR5275-FABCAR-042;Ingénieur de Recherche en modélisation mécanique (H/F);GRENOBLE;mercredi 17 février 2021;CDD Technique/Administratif;4;Temps complet;2437€ mensuel brut selon expérience;2437;;Ingénieur;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR5221-MATGEO-001/Default.aspx;UMR5221-MATGEO-001;Ingénieur de recherche H/F pour une mission de veille scientifique et valorisation pour le GDR Polymères et Océans;MONTPELLIER;lundi 8 mars 2021;CDD Technique/Administratif;6;Temps complet;environ 2400 euros bruts mensuels selon expérience;2400;;Bac+5;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR7198-MARTAI-036/Default.aspx;UMR7198-MARTAI-036;Production d eau pure par évaporation solaire dur de support (H/F);EPINAL;vendredi 12 mars 2021;CDD Technique/Administratif;4;Temps complet;2320,50€ bruts mensuels;2320.5;;Ingénieur;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMS3365-AROMAR-001/Default.aspx;UMS3365-AROMAR-001;Ingénieur développement logiciels H/F;ST DENIS;lundi 22 février 2021;CDD Technique/Administratif;6;Temps complet;A partir de 2297 € brut et davantage si expérience.;2297;;Supérieur à bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7154-BENBRE-030/Default.aspx;UMR7154-BENBRE-030;Ingénieur en analyse chimique H/F;PARIS 05;vendredi 19 mars 2021;CDD Technique/Administratif;36;Temps complet;A partir de 2151.31 euros bruts mensuels selon expérience;2151.31;;Bac+3;Indifférent
https://emploi.cnrs.fr/Offres/CDD/FR636-EVEMAG-043/Default.aspx;FR636-EVEMAG-043;Chargé.e de mission Bilan carbone, (H/F);PARIS 05;jeudi 25 mars 2021;CDD Technique/Administratif;12;Temps complet;A partir de 2151 € brut, selon expérience;2151;;Bac+5;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/FR636-EVEMAG-042/Default.aspx;FR636-EVEMAG-042;Ingénieur d Etude (H/F);PARIS 05;jeudi 18 mars 2021;CDD Technique/Administratif;12;Temps complet;A partir de 2151 € brut, selon expérience;2151;;Bac+5;1 à 4 années
