"link";"reference";"title";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/FR2638-FABCAR-002/Default.aspx";"FR2638-FABCAR-002";"Chercheur Mise en Forme de matériaux poreux pour la catalyse H/F";"VILLENEUVE D ASCQ";"mercredi 2 décembre 2020";"CDD Scientifique";11;"Temps complet";"entre 2 675 et 3 085 € bruts mensuels selon expérience.";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UPR22-FOUBOU-001/Default.aspx";"UPR22-FOUBOU-001";"Manager de projet H/F Institut thématique interdisciplinaire HiFunMat";"STRASBOURG";"mercredi 2 décembre 2020";"CDD Technique/Administratif";12;"Temps complet";"à partir 2461,99 euros brut mensuels";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5221-DOMTRU-001/Default.aspx";"UMR5221-DOMTRU-001";"Postdoc (H/F): Microgels ioniques et polymères de charge opposée: rhéologie, dynamique et applications pour l assainissement des eaux usées.";"MONTPELLIER";"mercredi 2 décembre 2020";"CDD Scientifique";24;"Temps complet";"entre 2700 euros et 3800 euros bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8520-FRELEF-079/Default.aspx";"UMR8520-FRELEF-079";"Chercheur CDD Propriétés optiques et de transport de puit quantiques colloïdaux individuels H/F";"VILLENEUVE D ASCQ";"mercredi 2 décembre 2020";"CDD Scientifique";24;"Temps complet";"A partir de 2675 euros bruts mensuels selon expérience.";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR3589-PAUMAR-001/Default.aspx";"UMR3589-PAUMAR-001";"Offre post-doctorat (H/F): Amélioration des prévisions de brouillard par assimilation d un réseau de radiomètres micro-ondes au sol";"TOULOUSE";"jeudi 3 décembre 2020";"CDD Scientifique";12;"Temps complet";"2648 à 3768 € bruts mensuel en fonction de l expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7326-FRELEP-055/Default.aspx";"UMR7326-FRELEP-055";"H/F Ingénieur -e en conception instrumentalle optique";"MARSEILLE 13";"jeudi 3 décembre 2020";"CDD Technique/Administratif";12;"Temps complet";"entre 2151,31 et 2748,08 brut mensuel selon experience.";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR8214-BERUST-009/Default.aspx";"UMR8214-BERUST-009";"Assistant(e) en gestion administrative des personnels de l unité H/F";"ORSAY";"jeudi 3 décembre 2020";"CDD Technique/Administratif";12;"Temps complet";"entre 1988€ et 2348€ bruts mensuel selon expérience";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UPR3407-JONMOU-001/Default.aspx";"UPR3407-JONMOU-001";"Ingénieur calcul : Simulation du transport d hydrogène et d hélium dans les composants face aux plasmas (H/F)";"VILLETANEUSE";"jeudi 3 décembre 2020";"CDD Technique/Administratif";7;"Temps complet";"entre 2151€ et 2668€ bruts mensuel selon expérience";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5558-NATARB-013/Default.aspx";"UMR5558-NATARB-013";"Post-doctorant.e (H/F) en bioinformatique";"VILLEURBANNE";"jeudi 3 décembre 2020";"CDD Scientifique";9;"Temps complet";"entre 2648 et 3805 € bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5069-TSUKAT-006/Default.aspx";"UMR5069-TSUKAT-006";"Post-doc : Silylènes substitués par des métaux de transition (H/F)";"TOULOUSE";"jeudi 3 décembre 2020";"CDD Scientifique";12;"Temps complet";"entre 2648 et 3054 € bruts mensuels selon expérience";"Doctorat";"1 à 4 années"
