Academie;Annee;Solde.mutation.PR;Solde.mutation.MCF;Solde.mutation.total
Paris;2009;40;16;56
Poitiers;2009;1;-1;0
Reims;2009;-5;-7;-12
Rennes;2009;-6;2;-4
Rouen;2009;-5;0;-5
Strasbourg;2009;4;2;6
Toulouse;2009;-5;0;-5
Versailles;2009;12;-2;10
Aix-Marseille;2010;-1;6;5
Amiens;2010;-1;-3;-4
Besançon;2010;0;-5;-5
Bordeaux;2010;1;2;3
Caen;2010;-3;-3;-6
Clermont-Ferrand;2010;2;2;4
Corse;2010;0;0;0
Créteil;2010;0;1;1
Dijon;2010;-1;-2;-3
Grenoble;2010;-2;5;3
Guadeloupe;2010;-1;-1;-2
Guyane;2010;;;0
Hors académie;2010;0;0;0
La Réunion;2010;0;-1;-1
Lille;2010;-5;-9;-14
Limoges;2010;-3;-2;-5
Lyon;2010;1;-1;0
Montpellier;2010;-5;5;0
Nancy-Metz;2010;-1;1;0
Nantes;2010;-3;-11;-14
Nice;2010;-2;-2;-4
Orléans-Tours;2010;-8;-1;-9
Paris;2010;48;21;69
Poitiers;2010;-9;1;-8
Reims;2010;-2;-3;-5
Rennes;2010;0;-4;-4
Rouen;2010;-3;-3;-6
Strasbourg;2010;-2;3;1
Toulouse;2010;1;1;2
Versailles;2010;-1;3;2
Aix-Marseille;2011;-1;2;1
Amiens;2011;-6;-4;-10
Besançon;2011;-2;-1;-3
Bordeaux;2011;6;2;8
Caen;2011;-5;-4;-9
Clermont-Ferrand;2011;-4;-4;-8
Corse;2011;0;1;1
Créteil;2011;1;7;8
Dijon;2011;-3;-2;-5
Grenoble;2011;-1;1;0
Guadeloupe;2011;-1;-2;-3
Guyane;2011;;;0
Hors académie;2011;0;0;0
La Réunion;2011;1;0;1
Lille;2011;-6;-4;-10
Limoges;2011;-2;1;-1
Lyon;2011;0;5;5
Montpellier;2011;3;6;9
Nancy-Metz;2011;-5;0;-5
Nantes;2011;-7;-8;-15
Nice;2011;-2;-3;-5
Orléans-Tours;2011;-5;-6;-11
Paris;2011;41;15;56
Poitiers;2011;-6;-3;-9
Reims;2011;-2;-2;-4
Rennes;2011;-1;0;-1
Rouen;2011;-1;-2;-3
Strasbourg;2011;2;1;3
Toulouse;2011;-1;8;7
Versailles;2011;7;-4;3
Aix-Marseille;2012;6;2;8
Amiens;2012;-1;;-1
Besançon;2012;-6;-6;-12
Bordeaux;2012;7;5;12
Caen;2012;-2;-1;-3
Clermont-Ferrand;2012;-3;-3;-6
Corse;2012;;;0
Créteil;2012;-2;1;-1
Dijon;2012;-2;-4;-6
Grenoble;2012;-3;-4;-7
Guadeloupe;2012;1;-1;0
Guyane;2012;;;0
Hors académie;2012;;;0
La Réunion;2012;-3;-1;-4
Lille;2012;-8;-8;-16
Limoges;2012;-1;1;0
Lyon;2012;-1;-1;-2
Montpellier;2012;1;12;13
Nancy-Metz;2012;-5;-1;-6
Nantes;2012;2;-3;-1
Nice;2012;1;;1
Orléans-Tours;2012;-3;-1;-4
Paris;2012;49;20;69
Poitiers;2012;-6;;-6
Reims;2012;-3;-2;-5
Rennes;2012;-3;;-3
Rouen;2012;-4;1;-3
Strasbourg;2012;-3;-1;-4
Toulouse;2012;-3;-1;-4
Versailles;2012;-5;-4;-9
Aix-Marseille;2013;;1;1
Amiens;2013;-5;;-5
Besançon;2013;;-4;-4
Bordeaux;2013;5;2;7
Caen;2013;-3;-1;-4
